,Title,Year,Genre,Plot,Kind,Gross,lemmatized_Plot
68,Tuli,2005,Drama,Tuli (Filipino for circumcise) is the story of Daisy and her life in an isolated Philippine Province. Daisy's father is responsible for the circumcision of almost all the Males in town. Daisy's father is also an abusive drunkard who abuses his wife and Daisy. Because of this Daisy creates a hatred towards her Father and Men. Daisy's father forces Daisy into a fixed marriage. Daisy doesn't want to marry the Man her Father chose for her. All the while Daisy's best friend is suffering herself. As is the tradition in this isolated Philippine town Daisy must follow in the footsteps of her Father and become the town's official circumciser. Daisy challenges the status quo and rebels against everything that she hates while a young Man defends her. Tuli is also the story of two best friends who deepen their relationship beyond friendship and a young Man willing to give Daisy everything he's got. In this rite of passage tale Daisy tells you her brutal and painful story... Tuli.Written byDestiny del Diosa,movie,,"['tuli', 'filipino', 'circumcise', 'story', 'daisy', 'life', 'isolate', 'philippine', 'province', 'daisys', 'father', 'responsible', 'circumcision', 'almost', 'male', 'town', 'daisy', 'father', 'also', 'abusive', 'drunkard', 'abuse', 'wife', 'daisy', 'daisy', 'create', 'hatred', 'father', 'man', 'daisy', 'father', 'force', 'daisy', 'fix', 'marriage', 'daisy', 'marry', 'man', 'father', 'choose', 'daisy', 'suffer', 'tradition', 'isolate', 'philippine', 'town', 'daisy', 'follow', 'footstep', 'father', 'become', 'town', 'official', 'circumciser', 'daisy', 'challenge', 'status', 'quo', 'rebel', 'hate', 'young', 'man', 'defend', 'tuli', 'also', 'story', 'best_friend', 'deepen', 'relationship', 'friendship', 'young', 'man', 'willing', 'give', 'daisy', 'get', 'rite', 'passage', 'tale', 'daisy', 'tell', 'brutal', 'painful', 'story', 'tuli']"
69,Krocodylus,2000,"Action, Adventure, Comedy","A pair of entrepreneurs with more bravery than brains hit upon the idea of blood surfing: spreading chum in the water in order to attract sharks, then hopping on a surfboard and riding through the middle of the pack. As they're filming their promotional documentary, the fun gets interrupted by a thirty-foot long salt water crocodile that begins snacking on everyone in the expedition. Will any of them make it back to civilization?Written byJean-Marc Rocher <rocher@fiberbit.net>",movie,,"['pair', 'entrepreneur', 'bravery', 'brain', 'hit', 'idea', 'blood', 'surfing', 'spread', 'chum', 'water', 'order', 'attract', 'shark', 'hop', 'surfboard', 'ride', 'middle', 'pack', 'film', 'promotional', 'documentary', 'fun', 'interrupt', 'thirtyfoot', 'long', 'salt', 'water', 'crocodile', 'begin', 'snack', 'expedition', 'make', 'civilization']"
70,Matakot ka sa karma,2006,Horror,"This is a horror trilogy ""about an antique shop where the pieces of the furniture each have their own stories from the past. The new owners get their little piece of horror,"" says Joey Reyes. In ""Kama,"" Aleli purchases an antique bed, not realizing that its previous owner of the bed is out to claim her son. ""Aparador"" is about a couple who purchased an antique cabinet where a young man died inside before. In ""Tokador"", an independent woman gets a possessed dresser out to take her soul.Written bymmff",movie,,"['horror', 'trilogy', 'antique', 'shop', 'piece', 'furniture', 'story', 'new', 'owner', 'get', 'little', 'piece', 'horror', 'say', 'kama', 'aleli', 'purchase', 'antique', 'bed', 'realize', 'previous', 'owner', 'bed', 'claim', 'son', 'aparador', 'couple', 'purchase', 'antique', 'cabinet', 'young', 'man', 'die', 'tokador', 'independent', 'woman', 'possess', 'dresser', 'take', 'soul']"
72,Mano po 5: Gua ai di (I love you),2006,"Comedy, Drama, Romance","A culinary romance set in Binondo, where Chinese traditions are still very much observed, Mano Po 5: Gua Ay Di is a touching story of how a young Chinese woman fights for the man she loves. She is doomed by strict family traditions to only wed someone of pure Chinese descent. But Charity finds love where she was not supposed to find it... at least according to her cold-hearted mother. Despite being met with resistance by her traditional Chinese family, most especially her mother, Charity continues her relationship with Nathan. Nathan, on the other hand, proves himself and his love to her by making an effort to learn about her background, culture and language resulting into various mishaps, sometimes comical and other times just plain disastrous. Charity finds solace in the kitchen, her cooking interwoven with the story of her ill-fated romance. Will true love prevail in the end? And will she be able to come up with the perfect recipe for love?Written byMMFF",movie,,"['culinary', 'romance', 'set', 'binondo', 'chinese', 'tradition', 'still', 'much', 'observe', 'po', 'gua', 'touch', 'story', 'young', 'chinese', 'woman', 'fight', 'man', 'love', 'doom', 'strict', 'family', 'tradition', 'd', 'pure', 'chinese', 'descent', 'charity', 'find', 'love', 'suppose', 'find', 'least', 'accord', 'coldhearted', 'mother', 'meet', 'resistance', 'traditional', 'chinese', 'family', 'especially', 'mother', 'charity', 'continue', 'relationship', 'hand', 'prove', 'love', 'make', 'effort', 'learn', 'background', 'culture', 'language', 'result', 'various', 'mishap', 'sometimes', 'comical', 'time', 'plain', 'disastrous', 'charity', 'find', 'solace', 'kitchen', 'cooking', 'interweave', 'story', 'illfated', 'romance', 'true', 'love', 'prevail', 'end', 'come', 'perfect', 'recipe', 'love']"
73,Alyna,2010,Drama,"Alyna is a woman who grew up feeling unloved until she meets Rex. He was fun, charismatic and immediately swept Alyna off her feet. When she thought she finally found love in the arms of Rex, he suddenly disappears. Alyna is left alone, heartbroken and carrying his child. In the search for Rex, Alyna crosses paths with Dominic - a sad, serious and cold man. But as the days progress, the fire in Alyna's heart blazes anew as she got to know the endearing qualities of Dominic. He could be the man Alyna was looking for all along. But Rex returns, promising to continue the love story he started weaving with Alyna. Who will Alyna choose - the man she loved first? Or the man who promises to love her forever?Written byAnonymous",tv,,"['alyna', 'woman', 'grow', 'feel', 'unloved', 'meet', 'rex', 'fun', 'charismatic', 'immediately', 'sweep', 'alyna', 'foot', 'think', 'finally', 'find', 'love', 'arm', 'rex', 'suddenly', 'disappear', 'alyna', 'leave', 'alone', 'heartbroken', 'carry', 'child', 'search', 'rex', 'sad', 'serious', 'cold', 'man', 'day', 'progress', 'fire', 'alynas', 'heart', 'blaze', 'anew', 'know', 'endearing', 'quality', 'man', 'alyna', 'look', 'rex', 'return', 'promise', 'continue', 'love', 'story', 'start', 'weave', 'alyna', 'alyna', 'choose', 'man', 'love', 'first', 'man', 'promise', 'love', 'forever']"
75,The House Arrest of Us,2020,"Comedy, Romance","A long-term couple finally decides to get engaged, and per Filipino pre-wedding tradition, the groom-to-be and his family go to his fiancée's family to settle the union. A series of unfortunate events follow as a pandemic hits, with the government suddenly implementing an Enhanced Community Quarantine. Now the would-be bride and groom, joined by their warring families, must live under one roof during a mandated lockdown.Written byiWantTFC",tv,,"['longterm', 'couple', 'finally', 'decide', 'engage', 'filipino', 'prewedde', 'tradition', 'groomtobe', 'family', 'go', 'fiancées', 'family', 'settle', 'union', 'follow', 'pandemic', 'hit', 'government', 'suddenly', 'implement', 'enhanced', 'community', 'quarantine', 'bride', 'groom', 'join', 'war', 'family', 'live', 'roof', 'mandate', 'lockdown']"
76,Otso,2013,Drama,"Hoping to reconnect with his roots by returning back to Manila, Lex writes a screenplay for an indie film based on the secret lives of his neighbors next door. Facts and his own artistic infusions all clash together as he discovers that reinterpreting real life isn't always a good thing.Written byanonymous",movie,,"['hope', 'reconnect', 'root', 'return', 'back', 'manila', 'lex', 'write', 'screenplay', 'indie', 'film', 'base', 'secret', 'live', 'neighbor', 'next', 'door', 'fact', 'artistic', 'infusion', 'clash', 'together', 'discover', 'reinterpret', 'real', 'life', 'always', 'good', 'thing']"
77,Four Sisters and a Wedding,2013,"Comedy, Drama","Four sisters try to stop the wedding of their younger brother and in doing so, all discover resentments among each other.",movie,"$3,351,356","['sister', 'try', 'stop', 'wed', 'discover', 'resentment']"
78,Un maledetto soldato,1988,"Action, Adventure, Drama","Far East. A commando led by the mercenary Ernst, a veteran of Vietnam, assaults a gold refinery to steal a load of raw nuggets belonging to an old comrade of Ernst.",movie,,"['far', 'east', 'commando', 'lead', 'mercenary', 'ernst', 'veteran', 'vietnam', 'assault', 'gold', 'refinery', 'steal', 'load', 'raw', 'nugget', 'belong', 'old', 'comrade', 'ernst']"
79,My Love from the Star,2017,"Comedy, Romance","Matteo Domingo (Gil Cuerva) is an extraterrestrial being that disembarked on the Philippines back in the 16th century during the Spanish Colonial Era. As he ventures to aid a teenage girl, Marcella (Pauline Mendoza), from descending off a cliff, he failed to join his trip, the KMT 184.5 comet, back to his planet and is grounded on Earth for the next four centuries and counting. He possesses an almost perfect form, enhanced physical abilities that improves his vision, hearing and speed drastically, and has a rather caustic, jaded point of view with regards to human beings. As time passes by and the story folds on, Matteo is forced to employ a new identity every ten years, as his human appearance never ages. In the present day, he disguises himself as a college professor and teaches at a nearby university. With only three months left before his much-awaited departure back to the planet where he came from, he would eventually meet Steffi Chavez (Jennylyn Mercado), an over-confident ...Written byYu Otosaka",tv,,"['domingo', 'gil', 'cuerva', 'extraterrestrial', 'disembark', 'philippine', 'back', 'th_century', 'spanish', 'colonial', 'era', 'venture', 'aid', 'teenage', 'girl', 'marcella', 'mendoza', 'descend', 'cliff', 'fail', 'join', 'trip', 'kmt', 'comet', 'planet', 'ground', 'earth', 'century', 'count', 'possess', 'almost', 'perfect', 'form', 'enhance', 'physical', 'ability', 'improve', 'vision', 'hear', 'speed', 'drastically', 'rather', 'caustic', 'jaded', 'point', 'view', 'regard', 'human', 'being', 'time', 'pass', 'story', 'fold', 'matteo', 'force', 'employ', 'new', 'identity', 'year', 'human', 'appearance', 'never', 'age', 'present', 'day', 'disguise', 'college', 'professor', 'teach', 'nearby', 'university', 'month', 'leave', 'muchawaited', 'departure', 'back', 'planet', 'come', 'eventually', 'meet', 'overconfident']"
80,Saan darating ang umaga?,1983,Drama,"A family's source of joy becomes the cause of all their grief. After years of trying to have a son, a couple finally decides to adopt one. While Shayne their only child is receptive at first, she finds herself getting increasingly jealous of Joel who has become the couple's center of attention. Shayne realizes that her adopted brother is no threat at all when he demonstrates his affection for her. But just when harmony is restored in the family, tragedy strikes during a beach excursion. Acting on a dare by Joel, Shane's father drifts afar from the shore and drowns. Shane's mother suffers a breakdown and blames Joel for the tragedy. Albeit Shane tries to hold the family together, the mother becomes inconsolable and demands that she return the boy to the orphanage. Now, Shayne must make the painful choice whether to keep her brother or submit to her mother's wishes.Written byAnonymous",movie,,"['familys', 'source', 'joy', 'become', 'grief', 'year', 'try', 'son', 'couple', 'finally', 'decide', 'adopt', 'child', 'receptive', 'first', 'find', 'get', 'increasingly', 'jealous', 'joel', 'become', 'couple', 'center', 'attention', 'shayne', 'adopt', 'brother', 'threat', 'demonstrate', 'affection', 'harmony', 'restore', 'family', 'tragedy', 'strike', 'beach', 'excursion', 'acting', 'dare', 'joel', 'shane', 'father', 'drift', 'afar', 'shore', 'drown', 'shane', 'mother', 'suffer', 'breakdown', 'blame', 'joel', 'tragedy', 'shane', 'try', 'hold', 'family', 'together', 'mother', 'become', 'inconsolable', 'demand', 'return', 'boy', 'orphanage', 'shayne', 'make', 'painful', 'choice', 'keep', 'brother', 'submit', 'mother', 'wish']"
81,Paglisan,2018,"Animation, Comedy, Drama","""Paglisan""(The Leaving) is an animated musical dramedy of a middle aged couple trying to survive, together, despite fading memories and fleeting. The marriage of Crisanto and Dolores is falling apart. It is even more tested when Crisanto is diagnosed with early onset Alzheimer's disease. All the while, Dolores is struggling with depression.",movie,,"['paglisanthe', 'leave', 'animate', 'musical', 'dramedy', 'middle', 'aged', 'couple', 'try', 'survive', 'together', 'fade', 'memory', 'fleeting', 'marriage', 'dolores', 'fall', 'apart', 'even', 'test', 'diagnose', 'early', 'onset', 'alzheimer', 'disease', 'dolore', 'struggle', 'depression']"
